SEG_ID,STNAME,label,f_is_local,f_speedlim,f_sidewalk_width,f_walk_zone,f_is_twoway,f_phase2,f_has_bike,f_length_miles,f_dist_school,f_count_school_500m,f_dist_hospital,f_count_hospital_500m,f_dist_landmark,f_count_landmark_500m,f_dist_historic,f_count_historic_500m
621533,FALLS RD,0.0,0,30.0,2,2,1,1,0,0.12104556,940.1970800371281,1,1568.392205246828,1,318.6440578250245,14,341.2232092885765,3
401204,N 66TH ST,0.0,0,30.0,4,3,1,1,0,0.08122359,470.1388476071066,2,3495.2104054381025,1,238.77481351237736,4,369.620536023373,21
421076,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.07267484,390.490580081931,1,1800.2140699929282,1,71.07779808940676,23,204.81353771697601,140
521274,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.01675291,332.99462744021673,4,592.7422235253164,1,70.80868460381767,53,328.65806415813995,29
421078,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.03293777,412.5152981466549,1,1794.490467869286,1,79.76618408992255,20,95.68273375038471,141
421077,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.01619248,401.24976146220786,1,1795.6842284532731,1,70.00631540354625,21,134.1738255007317,141
420062,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.05394283,310.78756835838766,3,543.340704831786,1,22.277800850887164,53,272.9201108936966,33
520432,CECIL B MOORE AVE,0.0,0,30.0,4,3,1,1,1,0.04235027,134.11480974868942,3,963.6978387643777,1,61.28211901134889,45,364.1384857746449,17
520445,CECIL B MOORE AVE,0.0,0,30.0,4,3,1,1,1,0.04255619,20.42171563193524,3,899.2664244720576,1,20.214368649266298,49,241.90576766541514,32
520450,CECIL B MOORE AVE,0.0,0,30.0,4,3,1,1,1,0.04227574,69.51664787813519,3,873.7649270054042,1,63.05147709937894,43,187.64197979238307,34
421082,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.04365042,523.5716001117032,1,1803.8913829696612,1,124.61890878760119,30,81.95808204122207,147
440049,N BROAD ST,0.0,0,30.0,0,0,1,1,0,0.06419054,440.43992259083086,3,292.50589521228534,1,106.71300757960957,40,99.56024114970481,12
440001,N BROAD ST,0.0,0,30.0,0,0,1,1,0,0.08934129,464.22479101184035,2,396.9681963356105,1,49.89008521899059,41,49.60963902086798,29
421079,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.03003043,431.95378142288513,1,1794.3596988512122,1,48.05964428766778,22,48.87130851235744,141
421080,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.0193022,450.96829025265254,1,1795.696755847266,1,26.16611088166081,23,26.340191010836293,142
420119,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.06917642,234.28976742720832,3,461.12950565332625,1,45.02099641483986,52,177.70333116340416,31
421588,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.07892404,171.86810764385652,3,370.667830523653,1,67.6197017318546,54,75.44849956598641,20
421081,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.04485601,478.99287312331114,1,1798.124643689124,1,57.00572237425508,21,56.286737819835786,142
520426,CECIL B MOORE AVE,0.0,0,30.0,4,3,1,1,1,0.03503371,195.8810787430681,3,997.8656716792741,1,43.537789048044615,48,422.8718655968663,11
520438,CECIL B MOORE AVE,0.0,0,30.0,4,3,1,1,1,0.04222365,67.72077206823337,3,929.3234422139608,1,20.986448494227034,42,301.7328449652947,21
421075,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.08874762,404.1972349375512,4,1815.9146647213136,1,64.08959509271499,24,334.0637283105263,3
421083,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.04288119,572.4303614549242,1,1812.2858989964432,1,62.18577835789407,33,21.376923963909064,151
440016,N BROAD ST,0.0,0,30.0,0,0,1,1,0,0.05743333,455.7073619975249,3,326.7322471825238,1,41.12504115924045,43,119.28408296189583,20
421589,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.02765609,165.60461868518746,3,313.9010300086129,1,21.076250670849323,50,22.404606759915037,17
420176,POPLAR ST,0.0,0,30.0,4,3,1,1,1,0.01745773,153.02079635487272,3,1277.517989770054,1,56.1542167294711,29,30.291973761293658,69
420179,POPLAR ST,0.0,0,30.0,4,3,1,1,1,0.02741183,123.53930001341257,3,1241.6452973083071,1,41.39401807524105,29,18.082102637710456,55
440111,N BROAD ST,0.0,0,30.0,0,0,1,1,0,0.08838122,318.54724156616777,1,294.01818033112545,1,128.17454599823898,43,124.51285498404724,13
421590,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.03357486,180.287205213913,2,286.8908851232815,1,60.49814048759394,48,25.390850279244287,33
420182,POPLAR ST,0.0,0,30.0,4,3,1,1,1,0.02616964,94.5044738045795,5,1198.8301057743936,1,38.52405557370555,33,32.769969250822484,7
440161,N BROAD ST,0.0,0,30.0,0,0,1,1,0,0.0845225,181.68572976718048,1,351.66964392793756,1,46.83948712366987,36,47.89956701582974,64
422013,PENNSYLVANIA AVE,0.0,0,30.0,4,3,1,1,1,0.04923142,555.9539035864038,1,1696.720248033286,1,234.9315313485773,32,210.63106408093284,152
421537,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.02529842,237.34105408974924,2,246.43596480302276,1,104.48741628416883,49,104.66907077176641,86
421536,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.03451951,209.33313897256127,2,264.47880167167483,1,113.66140971284712,48,57.9546277552727,33
421084,N 29TH ST,0.0,0,30.0,4,3,1,1,1,0.04711389,627.323137727443,1,1823.6521993334102,1,35.20314085955802,32,42.538456929524706,152
421789,FAIRMOUNT AVE,0.0,0,30.0,4,3,1,1,1,0.03008927,394.6121645724433,2,871.0699745271525,1,112.24020154217855,41,24.947844800618352,1561
421539,RIDGE AVE,0.0,0,30.0,4,3,1,1,1,0.02708469,317.4894260909953,3,230.02901228205948,1,34.24787352129559,46,217.99333543596805,271
421794,FAIRMOUNT AVE,0.0,0,30.0,4,3,1,1,1,0.08723038,317.5144893267785,2,1003.7041177409192,1,31.98809766496868,34,30.395900562226103,1231
421795,FAIRMOUNT AVE,0.0,0,30.0,4,3,1,1,1,0.01234823,268.96387687277013,2,1072.9564834316116,1,67.13109517224153,31,24.156279502462997,1101
421792,FAIRMOUNT AVE,0.0,0,30.0,4,3,1,1,1,0.08621368,104.9015298983194,3,1250.4773268148965,1,104.72543684167479,31,56.520513771780244,706
422011,PENNSYLVANIA AVE,0.0,0,30.0,4,3,1,1,1,0.0496193,646.4096532679642,1,1805.1312579732898,1,80.65962992032071,34,60.42425544467625,152
